fp_kanban_header_id,org_code,description,item_number,item_description,effective_from,effective_to,subinventory,locator,source_type,supplier,supplier_site,from_org_code,from_subinventory,from_locator,planning_only_cb,auto_request_cb,calculate,card_size,noof_card,moq,lead_time,allocation_per,flm,ssd,rfid_reference
1147,SPG,,1137695,"Spring ,VD180D-01, 6.5mmDO x 9.5mmRelaxed Length x 1.1mmD Wire, Stainless Steel, EN 10270-3-1.4310, cleaned",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,150,1,,,,,,AD4808021C56CD7956000006
1148,SPG,,1137716,"washer 2.7x6x0.5 DIN 125 A2, cleaned",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,200,1,,,,,,AD4808021C56B17B5A000003
1149,SPG,,1137258,"washer 3.2x9x0.8 DIN 9021 A2 3D, electropolished",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,250,1,,,,,,AD4808021C56957A5A000000
1150,SPG,,1137708,"washer 5,3 DIN 125 A2, cleaned",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C56797A5A0000FC
1151,SPG,,1137283,"Washer 8x5.2x1mm Copper (sealing applications), cleaned",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,250,1,,,,,,AD4808021C5695775C0000FF
1152,SPG,,1270108,"Grooved Pin 1472 2mmDIA x 12mmL, A2, cleaned",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,12,1,,,,,,AD4808021C56FD7B5600000B
1153,SPG,,1128484,"O-Ring 7mmIDx2mmW, Vi500",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,250,1,,,,,,AD4808021C56F57D5700000A
1154,SPG,,1272245,"O-Ring, 34mmID x 2.5mmW, Viton 580, Black",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,10,1,,,,,,AD4808021C56457D580000F7
1155,SPG,,1137257,"screw M2.5x10 DIN 912 A4, electropolished",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C56617D5B0000FB
1156,SPG,,1136218,"Screw, Cap, Button Head, Hex Socket Drive, M4 x 5mmL, Steel, Zinc Plated, ISO 7380",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,500,1,,,,,,AD4808021C56517B580000F8
1157,SPG,,1274192,"Screw, Cap, Socket Head, Hex Socket Drive, M2,5x5mmL, Stainless Steel A2, DIN 912 / ISO4762, cleaned",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C56297B540000F4
1158,SPG,,1274194,"Screw, Cap, Socket Head, Hex Socket Drive, M2x10mmL, Stainless Steel A2, DIN 912 / ISO4762, cleaned",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,150,1,,,,,,AD4808021C563D7A570000F6
1159,SPG,,1273061,"Screw, Cap, Socket Head, Hex Socket Drive, M2x6mmL, Stainless Steel A2, DIN 912 / ISO4762, cleaned",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,100,1,,,,,,AD4808021C563379540000F5
1160,SPG,,1139132,"Screw, Cap, Socket Head, Hex Socket Drive, M3 x 30mmL, Steel, Zinc, Blue Passivate, DIN 912",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,200,1,,,,,,AD4808021C56597C580000F9
1161,SPG,,1273058,"Screw, Cap, Socket Head, Hex Socket Drive, M3x5mmL, Stainless Steel A2, DIN 912 / ISO4762, cleaned",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,50,1,,,,,,AD4808021C57257A5A00000E
1162,SPG,,1274193,"Screw, Countersunk Flat Head, M3x8mmL, Stainless Steel A2 DIN7991 / ISO10642, cleaned",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,50,1,,,,,,AD4808021C57117A5900000D
1163,SPG,,1270111,"Spring, compression, OD 5 mm x 12,1mm L x 0,7 WD, Stainless Steel 1.4310, cleaned",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,10,1,,,,,,AD4808021C5709795800000C
1164,SPG,,1137753,"TH mounting plate curved, cleaned, baked",,,EXP-05,EXP-05.03.02.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,40,1,,,,,,AD4808021C57397959000010
1165,SPG,,1137760,"washer 2.7x5x0.5 DIN 433 A2, electropolished",,,EXP-05,EXP-05.03.02.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,400,1,,,,,,AD4808021C568B7B590000FE
1166,SPG,,1137253,"washer 3.2 DIN 433 A2, electropolished",,,EXP-05,EXP-05.02.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,300,1,,,,,,AD4808021C56A77B56000002
1212,SPG,,51394,"Adhesive, Sealant, RTV, Thin, Type  RTV 118 Transparent, 85g Tube",,,EXP-04,EXP-04.03.01.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,1,1,,,,,,AD4808021C5A19795A00005C
1213,SPG,,52928,"O-Ring 10x1, Vi500",,,EXP-10,EXP-10.40,SUBINV,,,,EXP-02,,,,CARD_SIZE,250,1,,,,,,AD4808021C59597A59000049
